"Takano, Mark",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Calvert, Ken",R,House,,,,,,,,,,,,,
"Waters, Maxine",D,House,,,,,,,,,,,,,
"Barragán, Nanette",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Walters, Mimi",R,House,,,,,,,,,,,,,
"Correa, J. Luis",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Lowenthal, Alan",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Rohrabacher, Dana",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Issa, Darrell",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Hunter, Duncan D.",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Vargas, Juan",D,House,,,,,,,,,,,,,
"Peters, Scott",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Davis, Susan",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
Name,Party,House,,,,,,,,,,,,,
"DeGette, Diana",D,House,,,,,,,,,,,,,
"Polis, Jared",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Tipton, Scott",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Buck, Ken",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Lamborn, Doug",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Coffman, Mike",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Perlmutter, Ed",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
Name,Party,House,,,,,,,,,,,,,
"Larson, John B.",D,House,,,,,,,,,,,,,
"Courtney, Joe",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"DeLauro, Rosa L.",D,House,,,,,,,,,,,,,
"Himes, Jim",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Esty, Elizabeth",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
Name,Party,House,,,,,,,,,,,,,
"Blunt Rochester, Lisa",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
Name,Party,House,,,,,,,,,,,,,
"Norton, Eleanor Holmes",D,House,,,,,,,,,,,,,
